City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
1040652,Maputo,MZ,-25.9653,32.5892,80.28,78,75,10.36
2409914,Bonthe,SL,7.5264,-12.505,78.58,67,100,10.25
1255584,Suchindram,IN,8.15,77.4833,76.59,69,99,4.36
3932145,Pisco,PE,-13.7,-76.2167,77.05,78,0,10.36
88834,Tūkrah,LY,32.5341,20.5791,53.64,69,100,19.08
1505991,Igarka,RU,67.4667,86.5833,-2.9,99,97,4.03
364027,Wagar,SD,16.1525,36.2032,74.3,54,8,17.16
2122574,Ola,RU,59.5833,151.2833,-21.82,85,78,8.75
5866583,Saint Paul Harbor,US,57.79,-152.4072,27.91,59,0,16.11
3374210,São Filipe,CV,14.8961,-24.4956,69.75,63,1,17.13
2176639,Batemans Bay,AU,-35.7167,150.1833,66.09,92,94,4.41
964432,Port Alfred,ZA,-33.5906,26.891,71.19,90,100,4.0
933995,Souillac,MU,-20.5167,57.5167,80.98,74,75,12.66
3355672,Lüderitz,NA,-26.6481,15.1594,69.89,73,0,24.14
2161515,Kiama,AU,-34.6833,150.8667,66.31,93,96,7.0
1855540,Naze,JP,28.3667,129.4833,59.92,75,94,10.94
935215,Saint-Philippe,RE,-21.3585,55.7679,80.19,85,82,13.98
5851349,Nānākuli,US,21.3906,-158.1547,74.77,78,0,4.61
901766,Namwala,ZM,-15.7504,26.4384,66.18,95,100,3.89
2126199,Cherskiy,RU,68.75,161.3,-31.86,99,100,4.92
286245,Sur,OM,22.5667,59.5289,73.0,65,7,8.79
1045114,Inhambane,MZ,-23.865,35.3833,82.0,88,40,5.99
5983720,Iqaluit,CA,63.7506,-68.5145,-27.31,67,75,6.91
3347719,Luena,AO,-11.7833,19.9167,61.41,98,100,2.77
2090021,Namatanai,PG,-3.6667,152.4333,79.36,80,100,5.12
124647,Bardsīr,IR,29.9227,56.5743,48.92,68,90,27.36
3533462,Acapulco de Juárez,MX,16.8634,-99.8901,84.45,54,0,8.99
203717,Yangambi,CD,0.8102,24.4336,81.64,40,93,3.04
4231997,Avera,US,33.194,-82.5271,67.1,38,100,6.31
4031574,Provideniya,RU,64.3833,-173.3,-16.69,94,57,3.85
2121025,Srednekolymsk,RU,67.45,153.6833,-30.33,98,100,5.35
2070998,Geraldton,AU,-28.7667,114.6,66.61,88,0,8.05
3374083,Bathsheba,BB,13.2167,-59.5167,81.21,69,75,16.11
6185377,Yellowknife,CA,62.456,-114.3525,-3.48,77,100,8.05
2636910,Stirling,GB,56.119,-3.9368,45.45,86,100,6.64
3382160,Cayenne,GF,4.9333,-52.3333,86.04,66,20,16.11
1267433,Kattivākkam,IN,13.2167,80.3167,77.09,71,3,6.49
986717,Kruisfontein,ZA,-34.0033,24.7314,71.89,81,99,3.04
2155415,New Norfolk,AU,-42.7826,147.0587,56.7,94,14,2.35
537238,Ladovskaya Balka,RU,45.6297,41.4023,23.32,95,100,13.11
2630299,Hofn,IS,64.2539,-15.2082,34.36,70,100,20.85
56399,Jamame,SO,0.0722,42.7506,75.69,87,19,11.01
1649150,Bengkulu,ID,-3.8004,102.2655,75.88,85,90,7.02
2067089,Maningrida,AU,-12.0667,134.2667,77.77,86,100,6.91
561698,Gayny,RU,60.3071,54.3241,7.23,97,100,5.5
5443910,Westminster,US,39.8367,-105.0372,44.01,27,20,9.22
3466704,Castro,BR,-24.7911,-50.0119,81.12,44,9,2.59
6089245,Norman Wells,CA,65.282,-126.8329,-11.16,77,75,0.0
1692364,Puro,PH,12.4841,123.3827,75.72,87,100,6.69
1282256,Hithadhoo,MV,-0.6,73.0833,81.7,68,100,8.16
4670234,Alice,US,27.7523,-98.0697,75.72,69,100,16.11
4031637,Lavrentiya,RU,65.5833,-171.0,-14.93,90,100,3.83
6170031,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,75,100,2.3
487498,Sterlibashevo,RU,53.4376,55.2578,-0.65,100,100,5.17
2961459,Skibbereen,IE,51.55,-9.2667,48.11,85,100,3.06
1180729,Dalbandin,PK,28.8947,64.4101,62.49,22,44,2.59
3137469,Sørland,NO,67.667,12.6934,42.66,80,100,31.63
2347209,Bida,NG,9.0833,6.0167,89.33,13,98,2.64
935214,Saint-Pierre,RE,-21.3393,55.4781,80.28,74,0,5.75
1797117,Rongcheng,CN,30.634,117.8517,47.64,95,100,5.75
4272340,Great Bend,US,38.3645,-98.7648,50.99,45,0,5.75
1058381,Morondava,MG,-20.2833,44.2833,79.72,79,100,4.18
2387890,Bouca,CF,6.5105,18.2733,82.02,13,10,3.83
513898,Otradnoye,RU,59.7775,30.8181,26.64,89,100,9.66
5282297,Bethel,US,41.3712,-73.414,37.56,42,0,11.5
1684803,Tabuk,PH,17.4189,121.4443,70.63,94,15,2.3
2206939,Bluff,NZ,-46.6,168.3333,48.79,61,100,28.19
777682,Skjervøy,NO,70.0311,20.9714,35.6,75,100,42.66
3996472,Mascota,MX,20.5167,-104.7833,81.7,22,96,6.06
1529102,Ürümqi,CN,43.801,87.6005,14.95,93,100,4.47
361058,Alexandria,EG,31.2156,29.9553,55.36,58,40,12.66
1307741,Myitkyina,MM,25.3833,97.4,57.22,59,0,1.48
4388460,Grandview,US,38.8858,-94.533,48.63,44,0,9.22
1485284,Zelenogorskiy,RU,55.0333,87.0,16.68,96,100,5.17
2640006,Portree,GB,57.4129,-6.1942,44.53,79,2,17.96
1713413,Gadung,PH,6.8025,124.02,78.84,71,100,5.75
2028164,Deputatsky,RU,69.3,139.9,-46.7,99,58,4.47
3372964,Lagoa,PT,39.05,-27.9833,55.47,62,100,19.26
3662489,Santa Isabel Rio Negro,BR,-0.4139,-65.0192,84.45,73,99,2.15
2319257,Wamba,NG,8.9333,8.6,81.95,13,84,4.74
4034551,Faanui,PF,-16.4833,-151.75,80.2,76,14,12.19
934322,Mahébourg,MU,-20.4081,57.7,80.89,74,75,12.66
6355222,Yulara,AU,-25.2406,130.9889,79.03,23,0,7.43
2112444,Kamaishi,JP,39.2667,141.8833,35.8,97,100,8.32
1861416,Ishigaki,JP,24.3448,124.1572,68.13,83,100,16.11
2618795,Klaksvík,FO,62.2266,-6.589,45.52,81,100,47.98
2613939,Skagen,DK,57.7209,10.5839,41.11,89,100,19.04
128008,Khalkhāl,IR,37.6189,48.5258,24.57,85,40,3.74
3404558,Cabedelo,BR,-6.9811,-34.8339,86.67,58,78,15.66
2121385,Severo-Kuril'sk,RU,50.6789,156.125,21.33,64,75,13.13
1272610,Dighwāra,IN,25.7333,85.0,66.27,88,0,0.0
1067565,Beloha,MG,-25.1667,45.05,74.52,77,100,9.64
1513491,Yangi Marg`ilon,UZ,40.4272,71.7189,34.52,86,15,2.3
3868210,Vilcún,CL,-38.65,-72.2333,81.34,18,0,8.23
1048364,Chokwé,MZ,-24.5333,32.9833,76.35,83,24,7.76
1651103,Atambua,ID,-9.1061,124.8925,74.21,87,99,0.67
1528998,Yumen,CN,40.2833,97.2,28.33,52,100,9.98
4035715,Avarua,CK,-21.2078,-159.775,78.85,89,75,12.66
1006984,East London,ZA,-33.0153,27.9116,72.54,94,0,9.22
2171099,Codrington,AU,-38.2667,141.9667,53.94,88,100,8.39
3445026,Vila Velha,BR,-20.3297,-40.2925,84.94,75,20,16.11
5557293,Sitka,US,57.0531,-135.33,33.69,80,40,0.0
1606386,Sattahip,TH,12.6664,100.9007,80.69,83,20,4.61
2109528,Buala,SB,-8.145,159.5921,79.61,88,100,8.88
1586443,Ca Mau,VN,9.1769,105.15,73.69,90,1,4.45
1255619,Srīvardhan,IN,18.0333,73.0167,71.8,64,72,6.53
1504380,Kargat,RU,55.1956,80.2811,-4.47,100,92,6.38
3443061,Chui,UY,-33.6971,-53.4616,84.18,47,0,12.93
2189343,Kaeo,NZ,-35.1,173.7833,56.32,94,100,2.73
3466723,Castelo,BR,-20.6036,-41.1847,81.61,89,100,1.12
2654728,Bridlington,GB,54.0831,-0.1919,43.79,87,100,7.56
2017155,Saskylakh,RU,71.9167,114.0833,-28.79,99,99,2.19
217745,Bumba,CD,2.1833,22.4667,84.9,29,98,2.26
5364271,Laguna,US,38.421,-121.4238,53.49,67,0,6.91
564593,Dubovskoye,RU,47.4092,42.7575,21.02,78,100,20.89
2139521,Noumea,NC,-22.2763,166.4572,73.38,82,100,8.12
3183284,Alghero,IT,40.5589,8.3181,46.49,57,0,11.5
1510030,Biskamzha,RU,53.4497,89.5272,11.75,99,99,1.63
610298,Beyneu,KZ,45.3167,55.2,33.12,81,100,25.28
5528182,Pecos,US,31.4229,-103.4932,51.69,40,75,17.27
3598787,Champerico,GT,14.3,-91.9167,93.74,57,38,10.65
4562600,Añasco,PR,18.2827,-67.1396,82.38,71,72,11.99
552465,Kargopol',RU,61.5071,38.9456,24.19,89,96,10.96
374739,Gogrial,SS,8.5332,28.1004,82.49,13,83,6.15
3386213,Touros,BR,-5.1989,-35.4608,83.82,58,15,18.37
3894426,Coyhaique,CL,-45.5752,-72.0662,73.35,46,40,9.22
2074865,Carnarvon,AU,-24.8667,113.6333,76.64,70,0,20.36
2643044,Margate,GB,51.3813,1.3862,33.69,97,4,7.07
3991622,La Providencia,MX,28.7167,-111.5833,68.79,23,0,13.06
2128975,Nemuro,JP,43.3236,145.575,24.19,86,85,11.21
103630,Najrān,SA,17.4924,44.1277,74.05,30,46,2.26
3985710,Cabo San Lucas,MX,22.8909,-109.9124,73.87,62,100,3.0
2360541,Gayéri,BF,12.6497,0.4931,87.57,12,99,8.41
3691954,Sechura,PE,-5.5569,-80.8222,86.25,53,28,17.65
1806840,Huilong,CN,31.8111,121.655,41.94,88,97,8.01
5989403,Kapuskasing,CA,49.4169,-82.4331,32.0,93,100,9.22
2036401,Jiutai,CN,44.1525,125.8328,8.94,85,5,6.44
3466165,Cidreira,BR,-30.1811,-50.2056,79.36,62,27,10.13
3924908,Pimenta Bueno,BR,-11.6725,-61.1936,84.94,66,72,1.86
7117100,Vila,PT,42.0304,-8.1588,40.08,82,2,5.86
1278969,Along,IN,28.1667,94.7667,54.93,87,100,2.24
524100,Muyezerskiy,RU,63.9333,31.65,32.16,89,100,13.53
2661524,Biasca,CH,46.3597,8.9697,31.33,73,3,5.75
7647007,Bariloche,AR,-41.1456,-71.3082,78.55,14,0,9.22
614455,Gori,GE,41.9842,44.1158,31.37,80,100,20.2
2120612,Tigil',RU,57.8,158.6667,-10.59,99,100,4.7
2255542,Owando,CG,-0.4819,15.8999,76.73,70,43,2.26
162627,Yabrūd,SY,33.9674,36.6574,26.96,82,24,4.21
6050066,La Ronge,CA,55.1001,-105.2842,25.05,74,75,2.3
292223,Dubai,AE,25.2582,55.3047,75.36,47,0,9.22
5086544,Gilford,US,43.5476,-71.4067,31.21,36,0,6.91
1015776,Bredasdorp,ZA,-34.5322,20.0403,68.95,72,100,9.66
1734810,Seremban,MY,2.7297,101.9381,77.95,91,100,2.33
1496588,Novozaimka,RU,56.4857,66.9241,-12.46,100,100,4.61
2112802,Hasaki,JP,35.7333,140.8333,46.78,85,99,23.33
934479,Grand Gaube,MU,-20.0064,57.6608,80.38,78,9,10.0
98182,Baghdad,IQ,33.3406,44.4009,55.31,47,22,5.75
1056899,Sambava,MG,-14.2667,50.1667,76.1,88,53,6.85
2126710,Beringovskiy,RU,63.05,179.3167,-19.43,95,98,7.7
2012593,Zeya,RU,53.75,127.2667,-28.93,95,22,3.47
1717787,Catuday,PH,16.2923,119.8062,76.64,84,6,6.49
3492997,Samaná,DO,19.2056,-69.3369,86.22,70,40,9.22
955313,Siyabuswa,ZA,-25.1132,29.0445,77.16,46,5,9.31
1507390,Dikson,RU,73.5069,80.5464,-15.74,94,100,15.86
6111862,Port Hardy,CA,50.6996,-127.4199,42.98,93,75,6.91
2038421,Bayan,CN,46.0833,127.4,-7.58,100,83,1.72
2120591,Tilichiki,RU,60.4667,166.1,-27.51,92,28,9.93
3382867,Totness,SR,5.8833,-56.3167,79.56,81,20,12.1
6167817,Torbay,CA,47.6666,-52.7314,22.24,82,75,23.02
2688368,Norrköping,SE,58.5942,16.1826,35.92,82,100,11.5
3838859,Río Gallegos,AR,-51.6226,-69.2181,64.45,52,40,10.36
2521883,Almeria,ES,37.1667,-2.3333,45.25,88,100,7.94
1280037,Shache,CN,38.4167,77.2406,30.31,65,0,1.81
2137773,Vao,NC,-22.6667,167.4833,78.71,71,92,11.25
3413604,Selfoss,IS,63.9331,-20.9971,26.04,72,100,30.11
1644605,Galesong,ID,-5.3166,119.3661,75.22,81,98,6.49
3115739,Narón,ES,43.5167,-8.1528,45.61,75,96,18.41
1270779,Guhāgar,IN,17.4842,73.1929,69.87,72,99,4.29
539897,Kudeyevskiy,RU,54.8758,56.7567,-7.76,100,100,1.32
3622036,Roxana,CR,10.2753,-83.7513,88.03,80,75,6.69
1265752,Kukshi,IN,22.2,74.75,69.57,28,0,2.73
344420,Adwa,ET,14.1646,38.8955,64.2,54,0,3.65
286621,Salalah,OM,17.0151,54.0924,75.29,46,0,3.44
1637001,Luwuk,ID,-0.9516,122.7875,78.39,81,100,3.22
5849996,Lahaina,US,20.8783,-156.6825,75.54,91,0,8.97
786735,Prilep,MK,41.3464,21.5544,24.17,56,2,3.6
1270926,Gorakhpur,IN,29.45,75.6833,55.2,30,0,6.51
2214432,Nālūt,LY,30.3333,10.85,60.62,32,100,15.19
1563281,Tuy Hoa,VN,13.0833,109.3,71.98,94,20,2.93
5830007,Lander,US,42.833,-108.7307,23.68,61,0,0.0
2212775,Sabha,LY,27.0377,14.4283,59.76,30,100,10.6
1216787,Kitob,UZ,39.0843,66.8332,47.62,28,73,6.11
5924351,Clyde River,CA,70.4692,-68.5914,-30.77,68,75,2.3
4026082,Lázaro Cárdenas,MX,17.9583,-102.2,83.7,55,16,8.81
1687186,Sarangani,PH,5.4033,125.4636,80.58,75,100,14.97
4004293,Ixtapa,MX,20.7,-105.2,85.93,33,21,7.54
64814,Bandarbeyla,SO,9.4942,50.8122,76.69,72,73,13.62
343593,Āreka,ET,7.0667,37.7,65.52,25,3,8.16
3147104,Løding,NO,67.3,14.75,40.06,86,75,41.43
2177671,Armidale,AU,-30.5167,151.65,56.08,93,70,5.68
5919850,Chapais,CA,49.7834,-74.8492,20.98,76,100,16.67
2655692,Biggar,GB,55.6167,-3.5167,43.74,97,100,5.64
1529660,Aksu,CN,41.1231,80.2644,25.09,79,4,5.79
556268,Ostrovnoy,RU,68.0531,39.5131,36.63,98,100,28.32
6137462,Saint-Augustin,CA,51.226,-58.6502,7.66,66,0,4.14
553766,Kamenka,RU,51.3223,42.7678,9.16,94,7,10.67
3927942,Tambopata,PE,-12.7333,-69.1833,85.89,84,75,6.91
501847,Rochegda,RU,62.8,43.25,23.47,95,100,9.31
780687,Berlevåg,NO,70.8578,29.0864,35.28,75,0,29.93
3421719,Narsaq,GL,60.9167,-46.05,-0.18,72,0,4.88
1733697,Semporna,MY,4.4818,118.6112,77.54,85,100,4.14
527321,Mezen',RU,65.8522,44.24,29.16,94,100,13.51
1583992,Turan,VN,16.0678,108.2208,76.98,88,75,4.61
5861897,Fairbanks,US,64.8378,-147.7164,1.8,75,75,0.0
6453331,Kristiansund,NO,63.1115,7.732,38.05,87,40,0.0
